,light_phase,network,block,treatment,day,time,time_sec,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner
223,dark,1,1,twelve,5,1:36 PM,48960.00,109.60,7,A,mount,X,Ran away and out of shelter,,X
224,dark,1,1,twelve,5,1:39 PM,49140.00,109.65,open,I,mount,V,Ran away,,V
225,dark,1,1,twelve,5,1:39 PM,49140.00,109.65,Open,F,mating,P,,,P
226,dark,1,1,twelve,5,1:46 PM,49560.00,109.77,open,A,mating,T,Staying still,I accidentally kicked the table and may have prematurely ended this,T
227,dark,1,1,twelve,5,1:48 PM,49680.00,109.80,Open,I,mount,V,Staying still,Got off quickly,V
228,dark,1,1,twelve,5,1:50 PM,49800.00,109.83,2,D,mount,M,Ran out of shelter,Trying to mate but seems like he's to big to get under her,M
229,dark,1,1,twelve,5,1:52 PM,49920.00,109.87,Outside 11,H,mount,I,N/A,Ended shortly,I
230,dark,1,1,twelve,5,1:56 PM,50160.00,109.93,Outside 7,F,mating,V,Walking around,,V
231,dark,1,1,twelve,5,2:04 PM,50640.00,110.07,2,D,mount,W,N/A,stopped shortly,W
232,dark,1,1,twelve,5,2:14 PM,51240.00,110.23,2,D,mount,M,Ran away,,M
233,dark,1,1,twelve,5,2:16 PM,51360.00,110.27,2,D,mount,M,Run around,Looks like .3 can't get under her,M
234,dark,1,1,twelve,5,2:29 PM,52140.00,110.48,2,D,mount,X,Ran away and left shelter,,X
235,dark,1,1,twelve,5,2:33 PM,52380.00,110.55,Outside 11,J,mount,X,Ran away,,X
236,dark,1,1,twelve,5,3:16 PM,54960.00,111.27,4,F,mount,W,Ran away and into shelter 5,,W
237,dark,1,1,twelve,5,3:28 PM,55680.00,111.47,Outside 4,F,mount,X,N/A,,X
238,dark,1,1,twelve,5,3:32 PM,55920.00,111.53,10,J,mount,F,N/A,Ended shortly,F
239,dark,1,1,twelve,5,3:35 PM,56100.00,111.58,12,J,mount,K,N/A,Ended shortly,K
240,dark,1,1,twelve,5,3:37 PM,56220.00,111.62,Outside 12,J,mount,X,Ran away,.9 re-entered 12,X
241,dark,1,1,twelve,5,3:48 PM,56880.00,111.80,8,C,mating,W,walking around,,W
242,dark,1,1,twelve,5,3:49 PM,56940.00,111.82,11,B,mating,T,N/A,,T
243,dark,1,1,twelve,5,4:02 PM,57720.00,112.03,10,H,mating,T,N/A,,T
244,dark,1,1,twelve,5,4:13 PM,58380.00,112.22,10,J,mount,T,Ran away and out of shelter,,T
245,dark,1,1,twelve,5,4:28 PM,59280.00,112.47,Outside 2,D,mating,W,Ran away after,,W
246,dark,1,1,twelve,5,4:44 PM,60240.00,112.73,10,G,mount,W,firmly pressed against wall,,W
247,dark,1,1,twelve,6,9:48 AM,35280.00,129.80,7,A,mating,V,ran away,".0 stayed on top after, 9. got away after",V
248,dark,1,1,twelve,6,10:23 AM,37380.00,130.38,10,B,mating,T,7. ran into wall,,T
